indice,pmos,nmos,nodo,saida,corrente,LETth
372.0,0.01574,-0.3052,g1,g1,106.25,53406084.65608465
373.0,0.8657,-0.3765,g1,g1,125.0,62830687.830687836
374.0,-0.5694,0.03644,g1,g1,90.625,45552248.67724867
375.0,-1.2838,0.6142,g1,g1,68.75,34556878.306878306
376.0,-0.6142,0.748,g1,g1,87.5,43981481.48148148
377.0,-1.4486,0.01272,g1,g1,65.625,32986111.111111112
378.0,0.171,-0.07088,g1,g1,109.375,54976851.85185184
379.0,-0.5208,0.525,g1,g1,90.625,45552248.67724867
380.0,-0.08175,-0.9109,g1,g1,103.125,51835317.460317455
381.0,-1.6007,0.6539,g1,g1,62.5,31415343.915343918
382.0,-0.2598,0.2269,g1,g1,100.0,50264550.26455026
383.0,0.9047,-0.639,g1,g1,125.0,62830687.830687836
384.0,0.7071,0.5997,g1,g1,125.0,62830687.830687836
385.0,0.09595,1.0746,g1,g1,106.25,53406084.65608465
386.0,1.1014,-0.4498,g1,g1,131.25,65972222.222222224
387.0,-0.1725,-0.4055,g1,g1,100.0,50264550.26455026
388.0,0.9978,-0.2624,g1,g1,131.25,65972222.222222224
389.0,-1.5027,-0.2047,g1,g1,64.0625,32200727.51322751
390.0,-0.02173,0.6948,g1,g1,106.25,53406084.65608465
391.0,0.5151,0.4076,g1,g1,118.75,59689153.43915344
392.0,0.6007,0.367,g1,g1,118.75,59689153.43915344
393.0,-0.0003736,-0.5759,g1,g1,106.25,53406084.65608465
394.0,2.3817,1.1798,g1,g1,156.25,78538359.78835979
395.0,-0.02807,-0.5072,g1,g1,106.25,53406084.65608465
396.0,0.3809,-0.8053,g1,g1,112.5,56547619.047619045
397.0,0.02437,-0.1529,g1,g1,106.25,53406084.65608465
398.0,0.9608,-0.5975,g1,g1,131.25,65972222.222222224
399.0,-1.0657,0.6651,g1,g1,75.0,37698412.6984127
400.0,0.4538,0.06936,g1,g1,118.75,59689153.43915344
401.0,-1.2254,-0.1964,g1,g1,71.875,36127645.50264551
402.0,0.3022,-1.165,g1,g1,112.5,56547619.047619045
403.0,-0.1889,0.2085,g1,g1,100.0,50264550.26455026
404.0,1.3208,0.1553,g1,g1,137.5,69113756.61375661
405.0,1.4143,-0.6491,g1,g1,137.5,69113756.61375661
406.0,1.8289,-1.1424,g1,g1,150.0,75396825.3968254
407.0,1.2784,-0.548,g1,g1,137.5,69113756.61375661
408.0,0.4938,1.2087,g1,g1,118.75,59689153.43915344
409.0,0.8229,-0.4486,g1,g1,125.0,62830687.830687836
410.0,0.1135,-1.1207,g1,g1,106.25,53406084.65608465
411.0,-2.1624,-0.4749,g1,g1,46.875,23561507.936507937
412.0,1.3084,0.6985,g1,g1,137.5,69113756.61375661
413.0,0.1926,1.4566,g1,g1,112.5,56547619.047619045
414.0,-1.329,1.6131,g1,g1,68.75,34556878.306878306
415.0,1.228,0.6634,g1,g1,137.5,69113756.61375661
416.0,0.308,0.443,g1,g1,112.5,56547619.047619045
417.0,0.8038,-0.5557,g1,g1,125.0,62830687.830687836
418.0,-0.9319,2.0842,g1,g1,81.25,40839947.08994709
419.0,0.5462,0.1533,g1,g1,118.75,59689153.43915344
420.0,2.6522,-0.4495,g1,g1,162.5,81679894.17989418
421.0,-0.3695,0.5219,g1,g1,93.75,47123015.87301587
