indice,pmos,nmos,nodo,saida,corrente,LETth
1,4.8108,4.372,e4,g2,125.0,62830687.830687836
2,4.7443,4.3136,g2,g2,93.75,47123015.87301587
3,4.828,4.3525,e4,g2,131.25,65972222.222222224
4,4.8825,4.4941,e4,g2,156.25,78538359.78835979
5,4.8946,4.3867,e4,g2,162.5,81679894.17989418
6,5.0332,4.2409,e4,g2,225.0,113095238.09523809
7,4.7088,4.4198,e4,g2,81.25,40839947.08994709
8,4.8467,4.336,g2,g2,137.5,69113756.61375661
9,4.9261,4.3954,e4,g2,175.0,87962962.96296296
10,4.7805,4.3342,e4,g2,112.5,56547619.047619045
11,4.8382,4.4122,e4,g2,137.5,69113756.61375661
12,4.796,4.3931,e4,g2,118.75,59689153.43915344
13,4.7511,4.4338,e4,g2,100.0,50264550.26455026
14,4.8645,4.2814,e4,g2,150.0,75396825.3968254
15,4.7153,4.4167,g2,g2,81.25,40839947.08994709
16,4.8885,4.3999,e4,g2,162.5,81679894.17989418
17,4.8595,4.2347,e4,g2,150.0,75396825.3968254
18,4.8305,4.4304,g2,g2,131.25,65972222.222222224
19,4.8778,4.2758,e4,g2,156.25,78538359.78835979
20,4.7074,4.1935,e4,g2,81.25,40839947.08994709
21,4.8689,4.405,e4,g2,150.0,75396825.3968254
22,4.7934,4.3194,e4,g2,118.75,59689153.43915344
23,4.6845,4.3341,e4,g2,71.875,36127645.50264551
24,4.9587,4.4807,g2,g2,187.5,94246031.74603175
25,4.9492,4.3537,e4,g2,187.5,94246031.74603175
26,4.8447,4.3248,g2,g2,137.5,69113756.61375661
27,4.7551,4.2714,e4,g2,100.0,50264550.26455026
28,4.8415,4.3017,e4,g2,137.5,69113756.61375661
29,4.9399,4.4206,e4,g2,187.5,94246031.74603175
30,4.8704,4.3419,e4,g2,150.0,75396825.3968254
31,4.8514,4.4497,e4,g2,143.75,72255291.00529101
32,4.8267,4.3218,e4,g2,131.25,65972222.222222224
33,4.7034,4.3014,g2,g2,78.125,39269179.894179896
34,4.7394,4.3388,e4,g2,93.75,47123015.87301587
35,4.7605,4.2704,g2,g2,100.0,50264550.26455026
36,4.9256,4.3392,e4,g2,175.0,87962962.96296296
37,4.9531,4.3532,e4,g2,187.5,94246031.74603175
38,4.7616,4.3678,g2,g2,103.125,51835317.460317455
39,4.6957,4.4392,g2,g2,75.0,37698412.6984127
40,4.8066,4.3299,e4,g2,125.0,62830687.830687836
41,4.8459,4.444,g2,g2,137.5,69113756.61375661
42,4.8523,4.4294,e4,g2,143.75,72255291.00529101
43,4.8389,4.3227,e4,g2,137.5,69113756.61375661
44,4.8405,4.3528,e4,g2,137.5,69113756.61375661
45,4.8611,4.386,e4,g2,150.0,75396825.3968254
46,4.9336,4.333,e4,g2,181.25,91104497.35449734
47,4.9261,4.325,e4,g2,175.0,87962962.96296296
48,4.7783,4.3863,g2,g2,109.375,54976851.85185184
49,4.7897,4.4392,g2,g2,112.5,56547619.047619045
