nodo,saida,pulso,pulso,corrente,set,num val,validacoes->
g1,g1,rise,rise,20.466796875,1.03e+07,1,'11
g1,g1,fall,fall,26.314453125,1.32e+07,2,'01,'10
i1,g1,rise,rise,42.8828125,2.16e+07,1,'11
i1,g1,fall,fall,26.314453125,1.32e+07,1,'10
