nodo,saida,pulso,pulso,corrente,set,num val,validacoes->
g1,g1,rise,rise,6.822265625,3.43e+06,1,'11
g1,g1,fall,fall,8.771484375,4.41e+06,2,'01,'10
i1,g1,rise,rise,15.59375,7.84e+06,1,'11
i1,g1,fall,fall,8.771484375,4.41e+06,1,'10
