nodo,saida,pulso,pulso,corrente,set,num val,validacoes->
g1,g1,rise,rise,140.0625E-6,=E2*(0.000000000164 - 5E-11)/(1.08E-14*0.000000021),1,'11
g1,g1,fall,fall,194.53125E-6,=E3*(0.000000000164 - 5E-11)/(1.08E-14*0.000000021),2,'01,'10
i1,g1,rise,rise,249.0E-6,=E4*(0.000000000164 - 5E-11)/(1.08E-14*0.000000021),1,'11
i1,g1,fall,fall,194.53125E-6,=E5*(0.000000000164 - 5E-11)/(1.08E-14*0.000000021),1,'10
