nodo,saida,pulso,pulso,corrente,set,num val,validacoes->
g1,g1,rise,rise,13.64453125,6.86e+06,1,'11
g1,g1,fall,fall,17.54296875,8.82e+06,2,'01,'10
i1,g1,rise,rise,31.1875,1.57e+07,1,'11
i1,g1,fall,fall,17.54296875,8.82e+06,1,'10
