nodo,saida,pulso,pulso,corrente,set,num val,validacoes->
1,g1,rise,rise,327.125,164427910.053,1,'10
1,g1,fall,fall,264.625,133012566.138,1,'00
g1,g1,rise,rise,327.125,164427910.053,2,'01,'10
g1,g1,fall,fall,136.171875,68446180.5556,1,'00
