nodo,saida,pulso,pulso,corrente,set,num val,validacoes->
1,g1,rise,rise,27.2890625,1.37e+07,1,'10
1,g1,fall,fall,19.4921875,9.80e+06,1,'00
1,g1,fall,rise,434.9861762523651,2.19e+08,1,'11
g1,g1,rise,rise,27.2890625,1.37e+07,2,'01,'10
g1,g1,fall,fall,8.771484375,4.41e+06,1,'00
